rank,team_id,clean_sheets,goals_conceded,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area
1,41,6,1,14,108,84
2,19,4,4,11,80,64
2,10,4,1,7,57,54
2,28,4,3,8,60,49
5,2,2,7,9,87,73
5,29,2,6,19,112,91
5,18,2,8,19,133,110
5,7,2,4,15,67,59
5,12,2,4,11,84,68
5,34,2,6,28,141,124
5,43,2,6,20,100,88
5,46,2,8,10,79,65
5,9,2,6,7,49,40
5,8,2,5,18,136,102
5,21,2,3,16,86,77
5,3,2,3,14,91,76
5,35,2,3,20,114,93
18,16,1,4,12,68,63
18,14,1,9,21,81,72
18,38,1,4,9,75,64
18,25,1,5,17,78,64
18,5,1,7,19,117,95
18,13,1,7,12,80,68
18,40,1,4,14,72,59
18,39,1,9,13,87,70
18,37,1,5,17,86,78
18,24,1,3,15,75,65
28,22,0,8,13,56,48
28,45,0,5,8,55,46
28,48,0,11,6,82,65
28,33,0,4,9,48,42
28,27,0,3,11,42,34
28,20,0,5,7,61,45
28,30,0,5,17,57,54
28,4,0,9,15,85,74
28,23,0,12,10,94,81
28,1,0,9,9,48,45
28,31,0,10,11,97,88
28,47,0,4,4,48,39
28,15,0,6,11,60,52
28,32,0,11,22,132,115
28,36,0,10,16,124,103
28,17,0,7,14,119,105
28,44,0,12,7,77,64
28,11,0,5,15,83,70
28,6,0,8,8,92,70
28,26,0,8,8,70,56
28,42,0,10,16,76,66
