team_id,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
2,88,79,9,0,0,21
43,87,89,8,1,1,13
41,80,66,6,0,0,17
5,78,68,6,1,0,8
29,74,88,7,0,0,9
18,73,102,8,1,0,12
9,72,71,11,0,0,7
19,70,66,6,0,0,11
10,70,64,8,0,0,19
34,66,61,9,1,0,5
17,59,67,12,0,0,4
6,59,37,7,1,0,2
32,58,41,3,0,0,5
28,58,48,4,1,0,5
21,56,47,6,0,0,8
46,56,64,7,1,0,11
25,55,31,4,0,0,4
22,55,43,7,0,0,7
7,51,54,8,0,0,11
20,51,42,3,0,0,4
16,49,37,8,1,0,2
4,47,27,5,0,0,11
3,46,38,5,0,0,1
33,46,33,5,0,0,6
13,45,46,4,0,0,8
48,45,29,4,0,0,3
11,44,44,6,0,0,9
35,44,58,7,0,0,10
30,44,43,3,0,0,8
42,43,50,5,0,0,9
38,42,39,5,0,0,2
40,38,46,5,2,0,8
15,37,31,1,0,0,5
39,36,48,3,0,0,10
36,36,28,4,2,0,4
24,35,23,6,0,0,9
31,32,23,4,0,0,4
14,32,31,7,0,0,5
47,31,29,5,1,0,14
26,31,23,4,0,0,3
45,31,38,2,0,0,7
1,29,40,3,0,0,4
12,29,36,4,0,0,4
37,29,26,6,0,0,3
44,27,34,1,0,0,9
8,27,47,5,0,0,7
23,27,31,4,1,0,1
27,25,32,4,0,0,8
