team_id,clean_sheets,goals_conceded,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area
41,6,1,14,108,84
19,4,4,11,80,64
10,4,1,7,57,54
28,4,3,8,60,49
2,2,7,9,87,73
29,2,6,19,112,91
18,2,8,19,133,110
7,2,4,15,67,59
12,2,4,11,84,68
34,2,6,28,141,124
43,2,6,20,100,88
46,2,8,10,79,65
9,2,6,7,49,40
8,2,5,18,136,102
21,2,3,16,86,77
3,2,3,14,91,76
35,2,3,20,114,93
16,1,4,12,68,63
14,1,9,21,81,72
38,1,4,9,75,64
25,1,5,17,78,64
5,1,7,19,117,95
13,1,7,12,80,68
40,1,4,14,72,59
39,1,9,13,87,70
37,1,5,17,86,78
24,1,3,15,75,65
22,0,8,13,56,48
45,0,5,8,55,46
48,0,11,6,82,65
33,0,4,9,48,42
27,0,3,11,42,34
20,0,5,7,61,45
30,0,5,17,57,54
4,0,9,15,85,74
23,0,12,10,94,81
1,0,9,9,48,45
31,0,10,11,97,88
47,0,4,4,48,39
15,0,6,11,60,52
32,0,11,22,132,115
36,0,10,16,124,103
17,0,7,14,119,105
44,0,12,7,77,64
11,0,5,15,83,70
6,0,8,8,92,70
26,0,8,8,70,56
42,0,10,16,76,66
