team_id,team_name,team_code
1,Algeria,ALG
2,Argentina,ARG
3,Australia,AUS
4,Austria,AUT
5,Belgium,BEL
6,Bosnia and Herzegovina,BIH
7,Brazil,BRA
8,Cabo Verde,CPV
9,Canada,CAN
10,Colombia,COL
11,Congo DR,COD
12,Côte d'Ivoire,CIV
13,Croatia,CRO
14,Curaçao,CUW
15,Czechia,CZE
16,Ecuador,ECU
17,Egypt,EGY
18,England,ENG
19,France,FRA
20,Germany,GER
21,Ghana,GHA
22,Haiti,HAI
23,Iraq,IRQ
24,IR Iran,IRN
25,Japan,JPN
26,Jordan,JOR
27,Korea Republic,KOR
28,Mexico,MEX
29,Morocco,MAR
30,Netherlands,NED
31,New Zealand,NZL
32,Norway,NOR
33,Panama,PAN
34,Paraguay,PAR
35,Portugal,POR
36,Qatar,QAT
37,Saudi Arabia,KSA
38,Scotland,SCO
39,Senegal,SEN
40,South Africa,RSA
41,Spain,ESP
42,Sweden,SWE
43,Switzerland,SUI
44,Tunisia,TUN
45,Türkiye,TUR
46,USA,USA
47,Uruguay,URU
48,Uzbekistan,UZB
